,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p29-0026-0034-0015,0,294.0,43,14.725479867081251,14.725479867081251,29.63302674547089,20.21719352534155,14.341049194335938,17.103067048679605,17.103067048679605,4.042161051142758,4.042161051142758
p29-0026-0023-0047,1,108.0,21,14.630258053541185,14.630258053541185,24.02618754642947,17.9927410170262,14.616458892822266,23.358026222179223,22.25880719114233,6.1397094011941915,6.556358837876124
p29-0026-0025-0078,2,111.0,16,15.49890409503971,15.49890409503971,24.94796409953275,19.264945020069565,15.537696838378904,19.836609698799645,18.796450284150268,4.3163150385951665,4.867385771226238
p29-0026-0024-0111,3,128.0,21,24.31725496705621,24.31725496705621,38.035667555990855,29.739678578061362,24.31595039367676,20.150912190835417,22.83443306293339,8.716182326058316,10.848190403543413
p29-0026-0023-0143,4,145.0,20,19.711386798990183,19.711386798990183,32.08601889505152,23.93477168992336,19.96837043762207,17.89512476696409,17.89721047796052,7.559647785253305,8.468924218621748
p29-0026-0024-0175,5,153.0,23,24.198945768518385,24.198945768518385,36.969149230086224,28.749340132578496,24.32167053222656,18.452226047879343,20.93815855886422,9.60245728647159,13.299857273210886
p29-0026-0025-0208,6,150.0,24,26.314098335901896,26.314098335901896,40.75528928704763,31.28613015062305,26.192279815673828,19.483822539160563,22.26466553250949,8.001338071939674,10.717044651688386
p29-0026-0024-0238,7,165.0,22,20.836961402315087,20.836961402315087,32.17743475155763,25.938302545015613,20.647924423217773,18.227548266749537,17.514564125826865,8.265251829654588,9.0545996553067
p29-0026-0024-0271,8,127.0,21,23.94522225011991,23.94522225011991,34.53139305658996,28.86360995321113,24.532644271850586,18.92820485780952,20.352445486023672,12.13334724304956,15.822994528792975
p29-0026-0025-0303,9,158.0,24,21.668013232418257,21.668013232418257,33.335368933968354,26.11351626998565,22.274932861328125,16.900540409304234,15.937260044526449,11.012617074836985,12.175267418964376
p29-0026-0025-0335,10,159.0,25,29.39156501098249,29.39156501098249,41.79895364882573,35.293191860807546,28.647727966308594,20.27221057659094,22.46494795841241,12.743861981763045,16.859672946749992
p29-0026-0025-0368,11,148.0,22,27.45440912246704,27.45440912246704,40.17632219584228,31.209950270201297,27.49016761779785,19.46195784481679,19.710617588984,12.761235112357483,14.60486062354333
