,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p7-0029-0048-0014,0,471.0,69,15.761382430374637,15.761382430374637,29.025384485511488,21.08542370349817,15.74398708343506,28.29781050628917,28.29781050628917,2.738863281320361,2.738863281320361
p7-0029-0031-0045,1,290.0,40,23.68042584452136,23.68042584452136,32.626778689345386,26.72939969458114,23.39179611206055,28.153964350026428,29.75350636778207,1.776176690356397,2.717892545834184
p7-0029-0034-0078,2,283.0,42,26.42549306680793,26.42549306680793,35.514037155532044,30.676343448889504,26.52138710021973,27.34278492765316,29.37367800436256,2.6191212002383994,4.073414424914774
p7-0029-0034-0111,3,321.0,42,30.503939542443586,30.503939542443586,38.025030555646524,33.79396828205915,30.594417572021484,29.886389375865832,30.825529885811967,3.6025009638415977,5.952804798092054
p7-0029-0032-0142,4,349.0,44,31.891752652930666,31.891752652930666,40.63584938145361,35.26063415185077,31.67279624938965,30.193150384983902,32.85650255481971,5.031478432120965,9.050437028106185
p7-0029-0034-0174,5,295.0,41,26.25170496601169,26.25170496601169,36.73497890054185,30.399903808509933,26.41346740722656,30.384276785750153,28.53400336443368,5.377625343883962,8.138502585171263
p7-0029-0036-0206,6,308.0,42,26.97864499339809,26.97864499339809,34.94580011697404,30.06203313693489,26.753677368164066,31.312672886538234,30.61399485538532,6.717145249344767,9.340853820446057
p7-0029-0036-0238,7,348.0,44,32.85277329368153,32.85277329368153,42.50949583291517,37.60269221617772,32.90557861328125,28.57835136964986,30.298049367707353,7.12570042925879,10.511794921781483
p7-0029-0047-0270,8,156.0,22,31.35751757254968,31.35751757254968,41.373021755799144,35.70600912801787,31.00254821777344,32.0774846253019,29.04733779491523,8.556674025123854,10.68347011621182
p7-0029-0047-0303,9,194.0,27,34.7855087358927,34.7855087358927,43.43096130084708,37.59501333727829,34.60236358642578,32.345734986366956,34.283557621474124,9.829308697790543,13.526801213775714
p7-0029-0047-0335,10,201.0,26,36.272301707101704,36.272301707101704,48.03828864050665,41.749286821871344,35.73344802856445,37.08598111131868,35.6619589981155,11.803150165908585,15.28311749714524
p7-0029-0047-0366,11,172.0,24,30.213292981303013,30.213292981303013,39.81420933921432,34.339168683918864,29.73383331298828,33.74940905898505,30.312419652938843,10.701636646672991,12.693440902025198
p7-0029-0048-0399,12,197.0,23,36.34685483438715,36.34685483438715,45.1049569009234,40.021539069499,36.57024383544922,35.80874053926338,34.294224777802604,12.692724827038573,15.795127279867375
p7-0029-0048-0430,13,215.0,27,34.93331062849178,34.93331062849178,45.28924999450978,39.18454126946085,34.987754821777344,35.31946154477673,32.872064138013265,12.209627969359568,14.365403104937355
p7-0029-0047-0462,14,181.0,24,36.396039182968565,36.396039182968565,45.389075420202396,40.15208001078936,36.62319946289063,30.470631494333464,28.824316051124875,12.882851049681273,14.836599885758774
p7-0029-0050-0494,15,228.0,27,37.97265102152239,37.97265102152239,47.5084459964458,41.649461396178715,38.05040740966797,30.145439948856335,30.764263065237753,15.433249838888706,17.706501982714006
p7-0029-0048-0527,16,213.0,27,39.80195662001489,39.80195662001489,49.36673469010849,44.55207762016424,40.40956497192383,32.020555555506796,31.583728987286353,14.452318970609545,15.09534567510578
p7-0029-0049-0557,17,191.0,27,36.841348138779246,36.841348138779246,47.493088238646926,40.95068341633034,37.496665954589844,31.254406638597434,28.98185716499209,17.39130622347786,18.060619514025944
p7-0029-0051-0591,18,204.0,27,38.05547213086896,38.05547213086896,45.957312458760406,41.76464457967021,38.27394485473633,30.328404211698974,28.294059804841584,16.340302629544087,16.121008132018293
p7-0029-0049-0622,19,183.0,26,37.32244986653979,37.32244986653979,46.14928443124622,41.104260994319,37.337249755859375,30.24805456273653,29.96118110906882,16.576629007605067,16.20904138036927
p7-0029-0049-0655,20,199.0,27,37.982052050643226,37.982052050643226,47.03235550468098,41.59570924388268,38.02560424804688,27.5436541713108,26.792503563003926,17.597938903985735,16.532882080605287
p7-0029-0050-0686,21,207.0,26,38.248205028294365,38.248205028294365,50.48785100942565,42.55556910631176,38.75086975097656,26.172840590422286,26.088951391874303,16.15681755895656,15.178570726643438
p7-0029-0050-0719,22,214.0,29,38.39309757446574,38.39309757446574,47.64666581663558,42.06412085674808,37.96967315673828,27.550440511727427,28.544624546977957,17.63526364093922,17.300931970092734
p7-0029-0051-0750,23,197.0,28,36.13023775362122,36.13023775362122,44.106702643997146,39.837245975912616,35.88532638549805,27.01009283574566,25.794863458817378,16.406179336003582,14.24691896995312
p7-0029-0051-0783,24,191.0,26,35.214607817964406,35.214607817964406,43.223631570562404,39.422586515343255,35.176483154296875,27.851551889057866,27.59227553961789,18.067241173983124,16.896520115318097
p7-0029-0051-0814,25,192.0,25,36.16281128923097,36.16281128923097,43.79954748801985,39.914034764906944,36.40511322021485,26.806606294350523,25.915598904093102,15.13386675695022,13.671802134563524
p7-0029-0051-0846,26,183.0,25,36.88492052672339,36.88492052672339,50.45713549382793,42.2330561925356,36.790809631347656,25.89712219579297,25.119328436304308,16.690688527153917,14.774765945523162
p7-0029-0051-0878,27,192.0,25,39.662757217884064,39.662757217884064,48.760103257053316,44.50600434676765,40.09850311279297,23.458834650013863,23.846286093195282,17.948089702090382,16.423789966618642
